Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_6.3x5.2,2,100µF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D9",Diode_SOD-123,79,Diode,
Dsp1,PinHeader_1x07_P2.54mm_Vertical,1,~,
PWR_Module1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"R1, R2, R3, R4, R5, R6, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,7,10k,
RotaryEnc1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
"S1, S2, S3",STAB_MX_2u,3,stab 2u,
S4,STAB_MX_6.25u,1,stab space 6.25u,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW9",hotswap socket with neopixel,79,~,
U1,SNH Shift register,1,SN74HC595NG4 FirstShift,
U2,SNH Shift register,1,SN74HC595NG4 SecondShift,
U3,CONV_BOB-12009,1,BOB-12009,
U4,b103 multichannel fader pot,1,~,
U5,ESP32 Vroom Devkit V1,1,ESP32-DEVKIT-V1 Matrix Handler,
