Designator,Mid X,Mid Y,Rotation,Layer
C1,364.07722,-134.905839,270.0,bottom
C2,361.304061,-144.537803,0.0,bottom
D1,61.044526,-44.449999,240.0,bottom
D10,284.882026,-44.449999,240.0,bottom
D11,303.932026,-44.449999,240.0,bottom
D12,327.744526,-44.449999,240.0,bottom
D13,61.044526,-68.262499,240.0,bottom
D14,80.094526,-68.262499,240.0,bottom
D15,99.144526,-68.262499,240.0,bottom
D16,118.194526,-68.262499,240.0,bottom
D17,137.244526,-68.262499,240.0,bottom
D18,156.294526,-68.262499,240.0,bottom
D19,175.344526,-68.262499,240.0,bottom
D2,127.719526,-44.449999,240.0,bottom
D20,194.394526,-68.262499,240.0,bottom
D21,213.444526,-68.262499,240.0,bottom
D22,232.494526,-68.262499,240.0,bottom
D23,251.544526,-68.262499,240.0,bottom
D24,270.594526,-68.262499,240.0,bottom
D25,289.644526,-68.262499,240.0,bottom
D26,318.219526,-68.262499,240.0,bottom
D27,356.319526,-68.262499,240.0,bottom
D28,65.807026,-87.312499,240.0,bottom
D29,89.619526,-87.312499,240.0,bottom
D3,146.769526,-44.449999,240.0,bottom
D30,108.669526,-87.312499,240.0,bottom
D31,127.719526,-87.312499,240.0,bottom
D32,146.769526,-87.312499,240.0,bottom
D33,165.819526,-87.312499,240.0,bottom
D34,184.869526,-87.312499,240.0,bottom
D35,203.919526,-87.312499,240.0,bottom
D36,222.969526,-87.312499,240.0,bottom
D37,242.019526,-87.312499,240.0,bottom
D38,261.069526,-87.312499,240.0,bottom
D39,280.119526,-87.312499,240.0,bottom
D4,165.819526,-44.449999,240.0,bottom
D40,299.169526,-87.312499,240.0,bottom
D41,322.982026,-87.312499,240.0,bottom
D42,356.319526,-87.312499,240.0,bottom
D43,68.188276,-106.362499,240.0,bottom
D44,94.382026,-106.362499,240.0,bottom
D45,113.432026,-106.362499,240.0,bottom
D46,132.482026,-106.362499,240.0,bottom
D47,151.532026,-106.362499,240.0,bottom
D48,170.582026,-106.362499,240.0,bottom
D49,189.632026,-106.362499,240.0,bottom
D5,184.869526,-44.449999,240.0,bottom
D50,208.682026,-106.362499,240.0,bottom
D51,227.732026,-106.362499,240.0,bottom
D52,246.782026,-106.362499,240.0,bottom
D53,265.832026,-106.362499,240.0,bottom
D54,284.882026,-106.362499,240.0,bottom
D55,315.838276,-106.362499,240.0,bottom
D56,356.319526,-106.362499,240.0,bottom
D57,72.950776,-125.412499,240.0,bottom
D58,103.907026,-125.412499,240.0,bottom
D59,122.957026,-125.412499,240.0,bottom
D6,203.919526,-44.449999,240.0,bottom
D60,142.007026,-125.412499,240.0,bottom
D61,161.057026,-125.412499,240.0,bottom
D62,180.107026,-125.412499,240.0,bottom
D63,199.157026,-125.412499,240.0,bottom
